,0
422,2009-02-26
423,2009-02-27
424,2009-02-28
425,2009-03-01
426,2009-03-02
427,2009-03-03
428,2009-03-04
429,2009-03-05
430,2009-03-06
431,2009-03-07
432,2009-03-08
433,2009-03-09
434,2009-03-10
435,2009-03-11
436,2009-03-12
437,2009-03-13
438,2009-03-14
439,2009-03-15
440,2009-03-16
441,2009-03-17
442,2009-03-18
443,2009-03-19
444,2009-03-20
445,2009-03-21
446,2009-03-22
447,2009-03-23
448,2009-03-24
449,2009-03-25
450,2009-03-26
451,2009-03-27
452,2009-03-28
453,2009-03-29
454,2009-03-30
455,2009-03-31
456,2009-04-01
457,2009-04-02
458,2009-04-03
459,2009-04-04
460,2009-04-05
461,2009-04-06
462,2009-04-07
463,2009-04-08
464,2009-04-09
465,2009-04-10
466,2009-04-11
467,2009-04-12
468,2009-04-13
469,2009-04-14
470,2009-04-15
471,2009-04-16
472,2009-04-17
473,2009-04-18
474,2009-04-19
475,2009-04-20
476,2009-04-21
477,2009-04-22
478,2009-04-23
479,2009-04-24
480,2009-04-25
481,2009-04-26
482,2009-04-27
483,2009-04-28
484,2009-04-29
485,2009-04-30
486,2009-05-01
487,2009-05-02
488,2009-05-03
489,2009-05-04
490,2009-05-05
491,2009-05-06
492,2009-05-07
493,2009-05-08
494,2009-05-09
495,2009-05-10
496,2009-05-11
497,2009-05-12
498,2009-05-13
499,2009-05-14
500,2009-05-15
501,2009-05-16
502,2009-05-17
503,2009-05-18
504,2009-05-19
505,2009-05-20
506,2009-05-21
507,2009-05-22
508,2009-05-23
509,2009-05-24
510,2009-05-25
511,2009-05-26
512,2009-05-27
513,2009-05-28
514,2009-05-29
515,2009-05-30
516,2009-05-31
517,2009-06-01
518,2009-06-02
519,2009-06-03
520,2009-06-04
521,2009-06-05
522,2009-06-06
523,2009-06-07
524,2009-06-08
525,2009-06-09
526,2009-06-10
527,2009-06-11
528,2009-06-12
529,2009-06-13
530,2009-06-14
531,2009-06-15
532,2009-06-16
533,2009-06-17
534,2009-06-18
535,2009-06-19
536,2009-06-20
537,2009-06-21
538,2009-06-22
539,2009-06-23
540,2009-06-24
541,2009-06-25
542,2009-06-26
543,2009-06-27
544,2009-06-28
545,2009-06-29
546,2009-06-30
547,2009-07-01
548,2009-07-02
549,2009-07-03
550,2009-07-04
551,2009-07-05
552,2009-07-06
553,2009-07-07
554,2009-07-08
555,2009-07-09
556,2009-07-10
557,2009-07-11
558,2009-07-12
559,2009-07-13
560,2009-07-14
561,2009-07-15
562,2009-07-16
563,2009-07-17
564,2009-07-18
565,2009-07-19
566,2009-07-20
567,2009-07-21
568,2009-07-22
569,2009-07-23
570,2009-07-24
571,2009-07-25
572,2009-07-26
573,2009-07-27
574,2009-07-28
575,2009-07-29
576,2009-07-30
577,2009-07-31
578,2009-08-01
579,2009-08-02
580,2009-08-03
581,2009-08-04
582,2009-08-05
583,2009-08-06
584,2009-08-07
585,2009-08-08
586,2009-08-09
587,2009-08-10
588,2009-08-11
589,2009-08-12
590,2009-08-13
591,2009-08-14
592,2009-08-15
593,2009-08-16
594,2009-08-17
595,2009-08-18
596,2009-08-19
597,2009-08-20
598,2009-08-21
599,2009-08-22
600,2009-08-23
601,2009-08-24
602,2009-08-25
603,2009-08-26
604,2009-08-27
605,2009-08-28
606,2009-08-29
607,2009-08-30
608,2009-08-31
609,2009-09-01
610,2009-09-02
611,2009-09-03
612,2009-09-04
613,2009-09-05
614,2009-09-06
615,2009-09-07
616,2009-09-08
617,2009-09-09
618,2009-09-10
619,2009-09-11
620,2009-09-12
621,2009-09-13
622,2009-09-14
623,2009-09-15
624,2009-09-16
625,2009-09-17
626,2009-09-18
627,2009-09-19
628,2009-09-20
629,2009-09-21
630,2009-09-22
631,2009-09-23
632,2009-09-24
633,2009-09-25
634,2009-09-26
635,2009-09-27
636,2009-09-28
637,2009-09-29
638,2009-09-30
639,2009-10-01
640,2009-10-02
641,2009-10-03
642,2009-10-04
643,2009-10-05
644,2009-10-06
645,2009-10-07
646,2009-10-08
647,2009-10-09
648,2009-10-10
649,2009-10-11
650,2009-10-12
651,2009-10-13
652,2009-10-14
653,2009-10-15
654,2009-10-16
655,2009-10-17
656,2009-10-18
657,2009-10-19
658,2009-10-20
659,2009-10-21
660,2009-10-22
661,2009-10-23
662,2009-10-24
663,2009-10-25
664,2009-10-26
665,2009-10-27
666,2009-10-28
667,2009-10-29
668,2009-10-30
669,2009-10-31
670,2009-11-01
671,2009-11-02
672,2009-11-03
673,2009-11-04
674,2009-11-05
675,2009-11-06
676,2009-11-07
677,2009-11-08
678,2009-11-09
679,2009-11-10
680,2009-11-11
681,2009-11-12
682,2009-11-13
683,2009-11-14
684,2009-11-15
685,2009-11-16
686,2009-11-17
687,2009-11-18
688,2009-11-19
689,2009-11-20
690,2009-11-21
691,2009-11-22
692,2009-11-23
693,2009-11-24
694,2009-11-25
695,2009-11-26
696,2009-11-27
697,2009-11-28
698,2009-11-29
699,2009-11-30
700,2009-12-01
701,2009-12-02
702,2009-12-03
703,2009-12-04
704,2009-12-05
705,2009-12-06
706,2009-12-07
707,2009-12-08
708,2009-12-09
709,2009-12-10
710,2009-12-11
711,2009-12-12
712,2009-12-13
713,2009-12-14
714,2009-12-15
715,2009-12-16
716,2009-12-17
717,2009-12-18
718,2009-12-19
719,2009-12-20
720,2009-12-21
721,2009-12-22
722,2009-12-23
723,2009-12-24
724,2009-12-25
725,2009-12-26
726,2009-12-27
727,2009-12-28
728,2009-12-29
729,2009-12-30
730,2009-12-31
731,2010-01-01
732,2010-01-02
733,2010-01-03
734,2010-01-04
735,2010-01-05
736,2010-01-06
737,2010-01-07
738,2010-01-08
739,2010-01-09
740,2010-01-10
741,2010-01-11
742,2010-01-12
743,2010-01-13
744,2010-01-14
745,2010-01-15
746,2010-01-16
747,2010-01-17
748,2010-01-18
749,2010-01-19
750,2010-01-20
751,2010-01-21
752,2010-01-22
753,2010-01-23
754,2010-01-24
755,2010-01-25
756,2010-01-26
757,2010-01-27
758,2010-01-28
759,2010-01-29
760,2010-01-30
761,2010-01-31
762,2010-02-01
763,2010-02-02
764,2010-02-03
765,2010-02-04
766,2010-02-05
767,2010-02-06
768,2010-02-07
769,2010-02-08
770,2010-02-09
771,2010-02-10
772,2010-02-11
773,2010-02-12
774,2010-02-13
775,2010-02-14
776,2010-02-15
777,2010-02-16
778,2010-02-17
779,2010-02-18
780,2010-02-19
781,2010-02-20
782,2010-02-21
783,2010-02-22
784,2010-02-23
785,2010-02-24
786,2010-02-25
787,2010-02-26
788,2010-02-27
789,2010-02-28
790,2010-03-01
791,2010-03-02
792,2010-03-03
793,2010-03-04
794,2010-03-05
795,2010-03-06
796,2010-03-07
797,2010-03-08
798,2010-03-09
799,2010-03-10
800,2010-03-11
801,2010-03-12
802,2010-03-13
803,2010-03-14
804,2010-03-15
805,2010-03-16
806,2010-03-17
807,2010-03-18
808,2010-03-19
809,2010-03-20
810,2010-03-21
811,2010-03-22
812,2010-03-23
813,2010-03-24
814,2010-03-25
815,2010-03-26
816,2010-03-27
817,2010-03-28
818,2010-03-29
819,2010-03-30
820,2010-03-31
821,2010-04-01
822,2010-04-02
823,2010-04-03
824,2010-04-04
825,2010-04-05
826,2010-04-06
827,2010-04-07
828,2010-04-08
829,2010-04-09
830,2010-04-10
831,2010-04-11
832,2010-04-12
833,2010-04-13
834,2010-04-14
835,2010-04-15
836,2010-04-16
837,2010-04-17
838,2010-04-18
839,2010-04-19
840,2010-04-20
841,2010-04-21
842,2010-04-22
843,2010-04-23
844,2010-04-24
845,2010-04-25
846,2010-04-26
847,2010-04-27
848,2010-04-28
849,2010-04-29
850,2010-04-30
851,2010-05-01
852,2010-05-02
853,2010-05-03
854,2010-05-04
855,2010-05-05
856,2010-05-06
857,2010-05-07
858,2010-05-08
859,2010-05-09
860,2010-05-10
861,2010-05-11
862,2010-05-12
863,2010-05-13
864,2010-05-14
865,2010-05-15
866,2010-05-16
867,2010-05-17
868,2010-05-18
869,2010-05-19
870,2010-05-20
871,2010-05-21
872,2010-05-22
873,2010-05-23
874,2010-05-24
875,2010-05-25
876,2010-05-26
877,2010-05-27
878,2010-05-28
879,2010-05-29
880,2010-05-30
881,2010-05-31
882,2010-06-01
883,2010-06-02
884,2010-06-03
885,2010-06-04
886,2010-06-05
887,2010-06-06
888,2010-06-07
889,2010-06-08
890,2010-06-09
891,2010-06-10
892,2010-06-11
893,2010-06-12
894,2010-06-13
895,2010-06-14
896,2010-06-15
897,2010-06-16
898,2010-06-17
899,2010-06-18
900,2010-06-19
901,2010-06-20
902,2010-06-21
903,2010-06-22
904,2010-06-23
905,2010-06-24
906,2010-06-25
907,2010-06-26
908,2010-06-27
909,2010-06-28
910,2010-06-29
911,2010-06-30
912,2010-07-01
913,2010-07-02
914,2010-07-03
915,2010-07-04
916,2010-07-05
917,2010-07-06
918,2010-07-07
919,2010-07-08
920,2010-07-09
921,2010-07-10
922,2010-07-11
923,2010-07-12
924,2010-07-13
925,2010-07-14
926,2010-07-15
927,2010-07-16
928,2010-07-17
929,2010-07-18
930,2010-07-19
931,2010-07-20
932,2010-07-21
933,2010-07-22
934,2010-07-23
935,2010-07-24
936,2010-07-25
937,2010-07-26
938,2010-07-27
939,2010-07-28
940,2010-07-29
941,2010-07-30
942,2010-07-31
943,2010-08-01
944,2010-08-02
945,2010-08-03
946,2010-08-04
947,2010-08-05
948,2010-08-06
949,2010-08-07
950,2010-08-08
951,2010-08-09
952,2010-08-10
953,2010-08-11
954,2010-08-12
955,2010-08-13
956,2010-08-14
957,2010-08-15
958,2010-08-16
959,2010-08-17
960,2010-08-18
961,2010-08-19
962,2010-08-20
963,2010-08-21
964,2010-08-22
965,2010-08-23
966,2010-08-24
967,2010-08-25
968,2010-08-26
969,2010-08-27
970,2010-08-28
971,2010-08-29
972,2010-08-30
973,2010-08-31
974,2010-09-01
975,2010-09-02
976,2010-09-03
977,2010-09-04
978,2010-09-05
979,2010-09-06
980,2010-09-07
981,2010-09-08
982,2010-09-09
983,2010-09-10
984,2010-09-11
985,2010-09-12
986,2010-09-13
987,2010-09-14
988,2010-09-15
989,2010-09-16
990,2010-09-17
991,2010-09-18
992,2010-09-19
993,2010-09-20
994,2010-09-21
995,2010-09-22
996,2010-09-23
997,2010-09-24
998,2010-09-25
999,2010-09-26
1000,2010-09-27
1001,2010-09-28
1002,2010-09-29
1003,2010-09-30
1004,2010-10-01
1005,2010-10-02
1006,2010-10-03
1007,2010-10-04
1008,2010-10-05
1009,2010-10-06
1010,2010-10-07
1011,2010-10-08
1012,2010-10-09
1013,2010-10-10
1014,2010-10-11
1015,2010-10-12
1016,2010-10-13
1017,2010-10-14
1018,2010-10-15
1019,2010-10-16
1020,2010-10-17
1021,2010-10-18
1022,2010-10-19
1023,2010-10-20
1024,2010-10-21
1025,2010-10-22
1026,2010-10-23
1027,2010-10-24
1028,2010-10-25
1029,2010-10-26
1030,2010-10-27
1031,2010-10-28
1032,2010-10-29
1033,2010-10-30
1034,2010-10-31
1035,2010-11-01
1036,2010-11-02
1037,2010-11-03
1038,2010-11-04
1039,2010-11-05
1040,2010-11-06
1041,2010-11-07
1042,2010-11-08
1043,2010-11-09
1044,2010-11-10
1045,2010-11-11
1046,2010-11-12
1047,2010-11-13
1048,2010-11-14
1049,2010-11-15
1050,2010-11-16
1051,2010-11-17
1052,2010-11-18
1053,2010-11-19
1054,2010-11-20
1055,2010-11-21
1056,2010-11-22
1057,2010-11-23
1058,2010-11-24
1059,2010-11-25
1060,2010-11-26
